# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
ECSPGSQL;60;1430600154;698868;3412096;83.00;119044;3045704;543324;6.54
ECSPGSQL;60;1430600214;559660;3551304;86.39;120732;3149160;617976;7.44
ECSPGSQL;60;1430600274;505340;3605624;87.71;122308;3230688;604860;7.28
ECSPGSQL;60;1430600334;425528;3685436;89.65;123920;3303872;611564;7.36
ECSPGSQL;60;1430600394;343952;3767012;91.63;125560;3363608;666280;8.02
ECSPGSQL;60;1430600454;206932;3904032;94.97;127360;3484608;678284;8.17
ECSPGSQL;60;1430600514;118396;3992568;97.12;129084;3565280;644280;7.76
ECSPGSQL;60;1430600574;33572;4077392;99.18;130684;3673548;621316;7.48
ECSPGSQL;60;1430600634;20064;4090900;99.51;132048;3684664;621412;7.48
ECSPGSQL;60;1430600694;42616;4068348;98.96;128000;3673244;641120;7.72
